strategy,relay_count,tree_length,timestep
None (Stable),40,466.73860318516313,305
search,4,454.6108577788117,306
None (Stable),40,465.3798887402533,307
None (Stable),40,466.5722811010352,308
search,4,451.3966396136284,309
None (Stable),40,465.32977713360617,310
search,6,449.6896394147934,311
search,5,448.6032414412637,312
search,5,447.7704254741973,313
search,5,446.9904371789148,314
search,5,446.2656977436398,315
search,5,445.5990156699539,316
search,5,444.99363252314606,317
search,5,444.45327729739046,318
search,5,443.9822304744598,319
search,4,443.5751789522379,320
search,4,443.25801248477035,321
search,4,443.02711417190034,322
search,4,442.8898419904766,323
search,3,442.8546043581022,324
None (Stable),40,483.0743080466657,325
search,3,444.0910317381644,326
search,3,444.4062919470294,327
search,3,444.74787729609886,328
None (Stable),40,485.29635115762,329
search,3,445.5106325326984,330
search,3,445.93213139326366,331
search,5,446.468200881804,332
search,4,446.8569309802623,333
search,4,447.35990434847855,334
search,4,447.8904381731966,335
search,4,448.44874097719344,336
search,4,449.0350316891002,337
search,4,449.3376979421816,338
search,4,450.4902974485055,339
search,4,451.67001094638107,340
search,4,452.8961206666359,341
search,4,454.1684845743721,342
search,4,455.486952995955,343
search,4,456.85136818746383,344
search,4,458.2615639133258,345
search,4,459.71736503890116,346
search,4,461.21858714069367,347
None (Stable),40,550.6025275519719,348
None (Stable),40,556.4094650184522,349
None (Stable),40,561.0961224742042,350
None (Stable),40,565.4107441590996,351
None (Stable),40,568.937786541342,352
search,4,475.33273269896364,353
None (Stable),40,580.3298510000885,354
None (Stable),40,585.7639012768725,355
None (Stable),40,591.3714804012103,356
search,4,494.1546836350966,357
None (Stable),40,604.0876771871516,358
None (Stable),40,608.9586765963105,359
None (Stable),40,614.0139009576576,360
search,4,512.2157657440673,361
None (Stable),40,619.9969962130893,362
None (Stable),40,625.2128571668925,363
search,4,525.3434225367873,364
None (Stable),40,631.3948726383356,365
None (Stable),40,632.8422266990981,366
search,6,535.5685203201648,367
None (Stable),40,618.6656901306438,368
None (Stable),40,620.7901468610279,369
None (Stable),40,623.1728832982885,370
search,6,548.3934668943039,371
search,6,551.9772902923951,372
search,6,555.617873412569,373
search,6,559.3115363365729,374
search,6,563.0550742374338,375
search,6,566.8456955713029,376
None (Stable),40,603.9629612544641,377
None (Stable),40,608.7997625659835,378
search,6,578.4772743904414,379
None (Stable),40,618.4735483987201,380
None (Stable),40,621.784927177456,381
None (Stable),40,625.2334693018194,382
search,6,594.5291293892736,383
None (Stable),40,636.6575034967674,384
None (Stable),40,640.4268394614376,385
None (Stable),40,644.304681929134,386
None (Stable),40,645.7374585194661,387
None (Stable),40,645.2207688559125,388
search,8,608.5269233894526,389
search,7,608.1652476726566,390
None (Stable),40,625.2171481233858,391
None (Stable),40,625.157164637756,392
None (Stable),40,625.1868204710482,393
search,6,607.8270159084906,394
None (Stable),40,619.6654222099452,395
None (Stable),40,619.7713608486827,396
None (Stable),40,619.9559470031965,397
search,6,607.9808117216867,398
None (Stable),40,614.4437246808828,399
None (Stable),40,614.6174633337439,400
None (Stable),40,614.8675002444935,401
None (Stable),40,615.1943797609825,402
search,6,608.8434998999574,403
None (Stable),40,611.8989747267777,404
None (Stable),40,612.1672023454701,405
None (Stable),40,612.5127357628672,406
search,6,610.0643909143731,407
search,6,610.4436537088237,408
search,8,610.9418509182557,409
search,8,611.3782010700626,410
search,7,611.7622658079022,411
search,7,612.2624393881517,412
search,7,612.7935963533675,413
search,7,613.3561441221307,414
search,6,613.9478328494699,415
search,6,614.5744392642523,416
search,6,615.2340535991738,417
search,6,615.9273856302219,418
search,6,616.6552448802823,419
search,6,617.4185531321085,420
search,6,616.9053158296352,421
