uav_count,seed,method,outer_complete,inner_complete,discovery_complete,monitoring_complete,total_time,rrbba_triggers,makespan,total_distance,plot_path,comparison_plot,status
13,8,TSP,,,,,,,29.9,270.15,,batch_test_plots_20251228_192153\Comparison_UAV13_Seed8.png,success
13,9,OBLAP,22,22,21,31,32,5,,,batch_test_plots_20251228_192153\OBLAP_UAV13_Seed9.png,batch_test_plots_20251228_192153\Comparison_UAV13_Seed9.png,success
13,9,TSP,,,,,,,26.9,258.34,,batch_test_plots_20251228_192153\Comparison_UAV13_Seed9.png,success
13,10,OBLAP,21,21,20,30,31,3,,,batch_test_plots_20251228_192153\OBLAP_UAV13_Seed10.png,batch_test_plots_20251228_192153\Comparison_UAV13_Seed10.png,success
13,10,TSP,,,,,,,28.2,270.97,,batch_test_plots_20251228_192153\Comparison_UAV13_Seed10.png,success
13,11,OBLAP,24,24,23,32,33,5,,,batch_test_plots_20251228_192153\OBLAP_UAV13_Seed11.png,batch_test_plots_20251228_192153\Comparison_UAV13_Seed11.png,success
13,11,TSP,,,,,,,29.2,270.5,,batch_test_plots_20251228_192153\Comparison_UAV13_Seed11.png,success
13,12,OBLAP,21,21,20,29,30,3,,,batch_test_plots_20251228_192153\OBLAP_UAV13_Seed12.png,batch_test_plots_20251228_192153\Comparison_UAV13_Seed12.png,success
13,12,TSP,,,,,,,25.6,261.05,,batch_test_plots_20251228_192153\Comparison_UAV13_Seed12.png,success
13,13,OBLAP,21,21,20,28,29,4,,,batch_test_plots_20251228_192153\OBLAP_UAV13_Seed13.png,batch_test_plots_20251228_192153\Comparison_UAV13_Seed13.png,success
13,13,TSP,,,,,,,33.0,292.86,,batch_test_plots_20251228_192153\Comparison_UAV13_Seed13.png,success
13,14,OBLAP,24,24,23,32,33,5,,,batch_test_plots_20251228_192153\OBLAP_UAV13_Seed14.png,batch_test_plots_20251228_192153\Comparison_UAV13_Seed14.png,success
13,14,TSP,,,,,,,24.5,254.62,,batch_test_plots_20251228_192153\Comparison_UAV13_Seed14.png,success
13,15,OBLAP,20,20,19,28,29,4,,,batch_test_plots_20251228_192153\OBLAP_UAV13_Seed15.png,batch_test_plots_20251228_192153\Comparison_UAV13_Seed15.png,success
13,15,TSP,,,,,,,25.2,252.26,,batch_test_plots_20251228_192153\Comparison_UAV13_Seed15.png,success
14,1,OBLAP,16,16,15,25,26,3,,,batch_test_plots_20251228_192153\OBLAP_UAV14_Seed1.png,batch_test_plots_20251228_192153\Comparison_UAV14_Seed1.png,success
14,1,TSP,,,,,,,23.2,254.28,,batch_test_plots_20251228_192153\Comparison_UAV14_Seed1.png,success
14,2,OBLAP,22,22,21,30,31,6,,,batch_test_plots_20251228_192153\OBLAP_UAV14_Seed2.png,batch_test_plots_20251228_192153\Comparison_UAV14_Seed2.png,success
14,2,TSP,,,,,,,31.4,280.9,,batch_test_plots_20251228_192153\Comparison_UAV14_Seed2.png,success
14,3,OBLAP,20,20,19,28,29,5,,,batch_test_plots_20251228_192153\OBLAP_UAV14_Seed3.png,batch_test_plots_20251228_192153\Comparison_UAV14_Seed3.png,success
